[((0.14,-0.64),192),((0.14,-0.63),64)]|[(c.minor,256)]|[59,59,59,59,57,57,57,57,59,59,59,59,0,0,0,0,48,48,48,48,55,55,0,0,48,48,48,48,55,55,0,0,51,51,51,51,58,58,0,0,55,55,50,50,55,55,0,0,48,48,48,48,55,55,0,0,48,48,48,48,55,55,0,0]|[(59,16),(57,16),(59,16),(0,16),(48,16),(55,8),(0,8),(48,16),(55,8),(0,8),(51,16),(58,8),(0,8),(55,8),(50,8),(55,8),(0,8),(48,16),(55,8),(0,8),(48,16),(55,8),(0,8)]|[[],[],[],[71,79],[60],[60],[62],[67],[67],[68],[63],[59],[60],[60],[62],[67]]|[80,128,208,256]|[[16, 16, 16, 16, 16, 8, 8, 16, 8, 8, 16, 8, 8, 8, 8, 8, 8, 16, 8, 8, 16, 8, 8], [(8.075, 48), (16.15, 16), (-5.88, 32), (5.88, 16), (-4.71, 32), (-21.54, 16), (-24.63, 16), (11.66, 16), (-5.88, 32), (5.88, 16), (-4.71, 16)], [(59, -4, -6), (59, -59, 10)], [0, 0, 0, 0, (0, 0)]]
[((0.14,-0.63),128),((0.16,-0.62),128)]|[(c.minor,148),(D#.MAJOR,108)]|[53,53,53,53,55,55,55,55,0,0,55,55,48,48,0,0,48,48,50,50,51,51,53,53,56,56,56,56,55,55,53,53,51,51,51,51,53,53,53,53,55,55,55,55,0,0,55,53,51,51,50,50,51,51,53,53,51,51,47,47,48,48,46,46]|[(53,16),(55,16),(0,8),(55,8),(48,8),(0,8),(48,8),(50,8),(51,8),(53,8),(56,16),(55,8),(53,8),(51,16),(53,16),(55,16),(0,8),(55,4),(53,4),(51,8),(50,8),(51,8),(53,8),(51,8),(47,8),(48,8),(46,8)]|[[65],[65],[62],[60],[60],[60],[62],[67],[67],[68],[63],[59],[60],[60],[62],[67]]|[64,128,208,256]|[[16, 16, 8, 8, 8, 8, 8, 8, 8, 8, 16, 8, 8, 16, 16, 16, 8, 4, 4, 8, 8, 8, 8, 8, 8, 8, 8], [(-9.36, 32), (5.88, 16), (-5.88, 48), (5.88, 16), (-4.71, 32), (-21.54, 16), (-24.63, 16), (11.66, 16), (-5.88, 32), (5.88, 16), (-4.71, 16)], [(59, 2, -4), (56, -7, -3)], [0, 0, 0, 0, (0, 0)]]
[((0.16,-0.62),64),((0.19,-0.49),64),((0.17,-0.39),128)]|[(D#.MAJOR,256)]|[44,44,41,41,43,43,43,45,47,47,43,43,48,48,48,48,51,51,58,58,55,55,58,58,51,51,58,58,55,55,58,58,53,53,60,60,56,56,60,60,53,53,53,53,60,60,60,60,46,46,56,56,50,50,56,56,46,46,56,56,50,50,56,56]|[(44,8),(41,8),(43,12),(45,4),(47,8),(43,8),(48,16),(51,8),(58,8),(55,8),(58,8),(51,8),(58,8),(55,8),(58,8),(53,8),(60,8),(56,8),(60,8),(53,16),(60,16),(46,8),(56,8),(50,8),(56,8),(46,8),(56,8),(50,8),(56,8)]|[[65],[65],[62],[60],[70],[70],[70],[72],[72],[68],[65,68],[65,68],[65],[65],[65],[70]]|[64,128]|[[8, 8, 12, 4, 8, 8, 16, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 16, 16, 8, 8, 8, 8, 8, 8, 8, 8], [(-9.36, 32), (5.88, 16), (-5.88, 16), (-27.6, 48), (-5.88, 32), (-21.54, 16), (29.52, 32), (-9.36, 48), (-27.6, 16)], [(60, 5, -1), (60, 12, 2)], [0, 0, 0, 0, (0, 0)]]
[((0.17,-0.39),256)]|[(D#.MAJOR,256)]|[51,51,58,58,55,55,58,58,51,51,51,51,58,58,58,58,51,51,58,58,55,55,58,58,51,51,58,58,55,55,58,58,53,53,60,60,56,56,60,60,53,53,60,60,56,56,60,60,46,46,56,56,50,50,56,56,46,46,56,56,50,50,56,56]|[(51,8),(58,8),(55,8),(58,8),(51,16),(58,16),(51,8),(58,8),(55,8),(58,8),(51,8),(58,8),(55,8),(58,8),(53,8),(60,8),(56,8),(60,8),(53,8),(60,8),(56,8),(60,8),(46,8),(56,8),(50,8),(56,8),(46,8),(56,8),(50,8),(56,8)]|[[68],[67],[63,67],[63,67],[70],[70],[70],[72],[72],[68],[65,68],[65,68],[65],[65],[65],[70]]|[128]|[[8, 8, 8, 8, 16, 16, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [(-21.54, 16), (-4.71, 16), (28.57, 32), (-27.6, 48), (-5.88, 32), (-21.54, 16), (29.52, 32), (-9.36, 48), (-27.6, 16)], [(63, 2, -2), (60, 5, 1)], [0, 0, 1, 1, (1, 4)]]
[((0.17,-0.39),128),((0.18,-0.37),128)]|[(D#.MAJOR,180),(c.minor,76)]|[53,53,56,56,46,46,56,56,55,55,58,58,55,55,55,55,48,48,48,48,55,55,0,0,48,48,48,48,55,55,0,0,51,51,51,51,58,58,0,0,55,55,50,50,55,55,0,0,48,48,48,48,55,55,0,0,48,48,48,48,55,55,0,0]|[(53,8),(56,8),(46,8),(56,8),(55,8),(58,8),(55,16),(48,16),(55,8),(0,8),(48,16),(55,8),(0,8),(51,16),(58,8),(0,8),(55,8),(50,8),(55,8),(0,8),(48,16),(55,8),(0,8),(48,16),(55,8),(0,8)]|[[67],[62],[63],[63],[60],[60],[62],[67],[67],[68],[63],[59],[60],[60],[62],[67]]|[48,128,208,256]|[[8, 8, 8, 8, 8, 8, 16, 16, 8, 8, 16, 8, 8, 16, 8, 8, 8, 8, 8, 8, 16, 8, 8, 16, 8, 8], [(-4.71, 16), (5.88, 16), (-24.63, 32), (-5.88, 32), (5.88, 16), (-4.71, 32), (-21.54, 16), (-24.63, 16), (11.66, 16), (-5.88, 32), (5.88, 16), (-4.71, 16)], [(59, 0, -4), (58, -53, 15)], [0, 1, 1, 1, (1, 16)]]
[((0.18,-0.37),256)]|[(c.minor,144),(D#.MAJOR,112)]|[53,53,53,53,55,55,55,55,0,0,55,55,48,48,0,0,48,48,50,50,51,51,53,53,56,56,56,56,55,55,53,53,51,51,51,51,53,53,53,53,55,55,55,55,0,0,55,53,51,51,50,50,51,51,53,53,51,51,47,47,48,48,46,46]|[(53,16),(55,16),(0,8),(55,8),(48,8),(0,8),(48,8),(50,8),(51,8),(53,8),(56,16),(55,8),(53,8),(51,16),(53,16),(55,16),(0,8),(55,4),(53,4),(51,8),(50,8),(51,8),(53,8),(51,8),(47,8),(48,8),(46,8)]|[[65],[65],[62],[60],[60],[60],[62],[67],[67],[68],[63],[59],[60],[60],[62],[67]]|[64,128,208,256]|[[16, 16, 8, 8, 8, 8, 8, 8, 8, 8, 16, 8, 8, 16, 16, 16, 8, 4, 4, 8, 8, 8, 8, 8, 8, 8, 8], [(-9.36, 32), (5.88, 16), (-5.88, 48), (5.88, 16), (-4.71, 32), (-21.54, 16), (-24.63, 16), (11.66, 16), (-5.88, 32), (5.88, 16), (-4.71, 16)], [(59, 2, -4), (56, -7, -3)], [0, 1, 1, 1, (1, 16)]]
[((0.18,-0.37),64),((0.19,-0.37),64),((0.23,-0.31),64),((0.23,-0.3),64)]|[(D#.MAJOR,256)]|[44,44,41,41,43,43,43,45,47,47,43,43,48,48,48,48,51,51,58,58,55,55,58,58,51,51,58,58,55,55,58,58,53,53,60,60,56,56,60,60,53,53,53,53,60,60,60,60,46,46,56,56,50,50,56,56,46,46,56,56,50,50,56,56]|[(44,8),(41,8),(43,12),(45,4),(47,8),(43,8),(48,16),(51,8),(58,8),(55,8),(58,8),(51,8),(58,8),(55,8),(58,8),(53,8),(60,8),(56,8),(60,8),(53,16),(60,16),(46,8),(56,8),(50,8),(56,8),(46,8),(56,8),(50,8),(56,8)]|[[65],[65],[62],[60],[70],[70],[70],[72],[72],[68],[65,68],[65,68],[65],[65],[65],[70]]|[64,128]|[[8, 8, 12, 4, 8, 8, 16, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 16, 16, 8, 8, 8, 8, 8, 8, 8, 8], [(-9.36, 32), (5.88, 16), (-5.88, 16), (-27.6, 48), (-5.88, 32), (-21.54, 16), (29.52, 32), (-9.36, 48), (-27.6, 16)], [(60, 5, -1), (60, 12, 2)], [0, 1, 1, 1, (1, 16)]]
[((0.23,-0.31),64),((0.25,-0.27),128),((0.25,-0.31),64)]|[(D#.MAJOR,256)]|[51,51,58,58,55,55,58,58,51,51,51,51,58,58,58,58,51,51,58,58,55,55,58,58,51,51,58,58,55,55,58,58,53,53,60,60,56,56,60,60,53,53,60,60,56,56,60,60,46,46,56,56,50,50,56,56,46,46,56,56,50,50,56,56]|[(51,8),(58,8),(55,8),(58,8),(51,16),(58,16),(51,8),(58,8),(55,8),(58,8),(51,8),(58,8),(55,8),(58,8),(53,8),(60,8),(56,8),(60,8),(53,8),(60,8),(56,8),(60,8),(46,8),(56,8),(50,8),(56,8),(46,8),(56,8),(50,8),(56,8)]|[[68],[67],[63,67],[63,67],[70],[70],[70],[72],[72],[68],[65,68],[65,68],[65],[65],[65],[70]]|[128]|[[8, 8, 8, 8, 16, 16, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [(-21.54, 16), (-4.71, 16), (28.57, 32), (-27.6, 48), (-5.88, 32), (-21.54, 16), (29.52, 32), (-9.36, 48), (-27.6, 16)], [(63, 2, -2), (60, 5, 1)], [0, 1, 1, 1, (1, 16)]]
