[((-0.13,-0.36),64),((-0.39,-0.25),64),((-0.33,-0.31),64),((-0.24,-0.27),64)]|[(f#.minor,256)]|[80,80,80,80,80,80,80,80,80,80,80,81,81,81,81,81,81,81,81,61,61,61,82,85,85,82,82,85,85,82,82,85,84,82,82,85,85,82,82,85,85,82,82,85,85,82,82,85,85,82,79,76,72,69,80,80,80,80,79,79,79,79,79,79]|[(80,44),(81,32),(61,12),(82,4),(85,8),(82,8),(85,8),(82,8),(85,4),(84,4),(82,8),(85,8),(82,8),(85,8),(82,8),(85,8),(82,8),(85,8),(82,4),(79,4),(76,4),(72,4),(69,4),(80,16),(79,24)]|[[40,49,52],[40,49,52],[42,54],[39,51],[39,51],[],[42,49,54],[44,49,56],[44,49,56],[44,49,56],[],[47,49,59],[49,61],[],[49,56,61],[49,55,61]]|[48,176]|[[44, 32, 12, 4, 8, 8, 8, 8, 4, 4, 8, 8, 8, 8, 8, 8, 8, 8, 4, 4, 4, 4, 4, 16, 24], [(32.28, 32), (28.57, 16), (-43.53, 32), (-42.805, 16), (-42.08, 16), (-50.0, 48), (-6.285, 16), (37.43, 16), (-34.06, 16), (-41.120000000000005, 16), (-48.18, 16), (37.43, 16)], [(39, 9, -1), (85, -1, 0)], [0, 0, 0, 0, (0, 0)]]
[((-0.37,-0.23),64),((-0.43,-0.11),64),((-0.33,-0.33),64),((-0.42,-0.26),64)]|[(f#.minor,180),(A.MAJOR,76)]|[78,78,78,78,78,78,78,78,78,78,78,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,81,81,81,81,81,81,83,83,83,81,81,80,80,78,76,76,76,76,76,0,0,0,81,81,81,81,81,83,83,83,81,81]|[(78,44),(90,84),(81,24),(83,12),(81,8),(80,8),(78,4),(76,20),(0,12),(81,20),(83,12),(81,8)]|[[54,57,61],[54,57,61],[54,57,61],[42,54,57,61],[42,54,57,61],[42,54,57,61],[54,66],[54,66],[42,49,54],[42,49,54],[42,49,54],[44,49,52],[44,49,52],[44,49,52,61],[42,49,54],[42,49,54]]|[240]|[[44, 84, 24, 12, 8, 8, 4, 20, 12, 20, 12, 8], [(36.61, 48), (46.26, 48), (28.57, 32), (-42.08, 64), (-23.61, 16), (-30.45, 16), (-21.54, 32)], [(42, -12, -2), (90, 3, -1)], [0, 0, 0, 0, (0, 0)]]
[((-0.22,-0.24),64),((-0.53,-0.4),64),((-0.52,-0.4),64),((-0.36,-0.18),64)]|[(A.MAJOR,176),(f#.minor,80)]|[80,80,80,80,80,80,66,66,66,64,64,86,86,86,86,86,88,88,88,86,86,86,85,83,83,81,81,81,81,81,85,85,90,90,90,90,90,90,88,88,88,88,88,90,90,90,90,90,90,90,90,90,90,90,78,78,78,78,78,74,74,73,71,71]|[(80,24),(66,12),(64,8),(86,20),(88,12),(86,12),(85,4),(83,8),(81,20),(85,8),(90,24),(88,20),(90,44),(78,20),(74,8),(73,4),(71,8)]|[[44,49,52],[44,49,52,56],[44,49,52],[47,54,59],[47,54,59],[47,54,59],[45,49,54,57],[45,49,54,57],[38,42,45,50],[38,42,45,50],[40,44,49,52],[42,45,49,54],[42,45,49,54,59,62],[42,45,49,54,56,59],[57,61],[57]]|[64,144,192]|[[24, 12, 8, 20, 12, 12, 4, 8, 20, 8, 24, 20, 44, 20, 8, 4, 8], [(-23.61, 16), (-33.18, 16), (-23.61, 16), (18.34, 48), (25.63, 32), (-29.52, 32), (27.6, 16), (46.26, 16), (54.89, 16), (61.06, 16), (24.63, 16), (7.04, 16)], [(38, 13, -6), (90, -9, 7)], [0, 0, 0, 0, (0, 0)]]
[((-0.03,-0.23),64),((-0.04,-0.23),64),((0,-0.05),64),((-0.16,-0.09),64)]|[(f#.minor,136),(B.MAJOR,24),(A.MAJOR,28),(f#.minor,68)]|[78,78,78,78,78,78,81,81,81,80,80,73,73,71,78,78,78,78,78,78,78,78,80,80,81,81,81,81,81,81,81,81,80,80,80,78,83,83,78,78,81,81,81,81,81,81,80,80,78,78,78,78,78,78,81,81,81,78,80,78,78,78,81,81]|[(78,24),(81,12),(80,8),(73,8),(71,4),(78,32),(80,8),(81,32),(80,12),(78,4),(83,8),(78,8),(81,24),(80,8),(78,24),(81,12),(78,4),(80,4),(78,12),(81,8)]|[[49,56,61],[49,57,61],[47,56,59],[49,52,61],[42,49,54,57],[42,49,54,56],[42,49,54],[42,49,54,56],[44,49,56],[44,49,56],[42,45,49,54],[38,42,45,50],[42,45,49,54],[42,45,49,54],[42,45,49,50,54,57,62],[38,45,50]]|[176]|[[24, 12, 8, 8, 4, 32, 8, 32, 12, 4, 8, 8, 24, 8, 24, 12, 4, 4, 12, 8], [(-48.18, 16), (39.04, 16), (39.82, 32), (46.26, 16), (-53.87, 16), (-42.08, 16), (-53.87, 16), (-50.0, 16), (19.42, 16), (26.62, 16), (-29.52, 16), (46.26, 32), (55.38, 16), (18.34, 16)], [(38, -11, -1), (83, 3, -1)], [0, 0, 0, 0, (0, 0)]]
[((-0.16,-0.09),64),((-0.12,0.01),64),((-0.07,0.07),64),((-0.16,0.06),64)]|[(f#.minor,48),(D.MAJOR,136),(f#.minor,24),(b.minor,48)]|[81,81,81,73,73,73,78,69,66,67,69,78,67,64,66,67,78,67,69,66,67,64,78,69,67,67,71,66,66,66,66,66,74,74,74,74,74,74,73,71,71,69,69,68,68,69,71,69,90,78,0,78,0,0,0,0,79,79,76,90,0,0,0,76]|[(81,12),(73,12),(78,4),(69,4),(66,4),(67,4),(69,4),(78,4),(67,4),(64,4),(66,4),(67,4),(78,4),(67,4),(69,4),(66,4),(67,4),(64,4),(78,4),(69,4),(67,8),(71,4),(66,20),(74,24),(73,4),(71,8),(69,8),(68,8),(69,4),(71,4),(69,4),(90,4),(78,4),(0,4),(78,4),(0,16),(79,8),(76,4),(90,4),(0,12),(76,4)]|[[37,44,49],[37,44,49,61],[],[],[42,54],[42,54],[43,55],[30,37,42],[38,45,50],[38,45,50],[33,40,45],[32,38,44],[42,54],[],[43,55],[]]|[208]|[[12, 12, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 8, 4, 20, 24, 4, 8, 8, 8, 4, 4, 4, 4, 4, 4, 4, 16, 8, 4, 4, 12, 4], [(-48.18, 16), (-56.81, 16), (-20.330000000000002, 32), (16.15, 32), (-18.34, 16), (-26.62, 16), (-16.15, 32), (-15.04, 16), (33.18, 16), (28.57, 16), (9.605, 16), (-9.36, 16), (-4.68, 16)], [(30, 6, -2), (90, -5, -16)], [0, 0, 0, 0, (0, 0)]]
[((-0.03,0.06),64),((-0.09,0.06),64),((-0.57,-0.12),64),((-0.3,-0.02),64)]|[(b.minor,44),(g.minor,20),(d#.minor,192)]|[90,78,0,79,0,0,78,78,78,78,78,72,72,72,74,74,75,75,75,77,78,78,74,74,75,75,77,78,78,78,80,81,82,82,82,70,68,70,71,71,75,75,75,77,77,78,78,82,87,87,87,87,87,87,87,87,87,77,78,89,89,89,89,89]|[(90,4),(78,4),(0,4),(79,4),(0,8),(78,20),(72,12),(74,8),(75,12),(77,4),(78,8),(74,8),(75,8),(77,4),(78,12),(80,4),(81,4),(82,12),(70,4),(68,4),(70,4),(71,8),(75,12),(77,8),(78,8),(82,4),(87,36),(77,4),(78,4),(89,20)]|[[42,54],[],[54],[48,54],[39,54],[54],[54],[35,47,54],[34,46,54],[34,46,54],[32,44],[46,54,58],[51,54,58,63],[46,51,54,58,63],[41,53],[53,66]]|[192]|[[4, 4, 4, 4, 8, 20, 12, 8, 12, 4, 8, 8, 8, 4, 12, 4, 4, 12, 4, 4, 4, 8, 12, 8, 8, 4, 36, 4, 4, 20], [(28.57, 16), (21.805, 16), (15.04, 16), (20.48, 16), (-36.61, 16), (15.04, 32), (34.92, 16), (-54.89, 32), (-39.04, 16), (-54.89, 16), (-62.93, 16), (-70.25, 16), (-18.34, 16), (23.61, 16)], [(32, 11, -4), (90, -1, -15)], [0, 0, 0, 0, (0, 0)]]
[((-0.09,-0.11),64),((-0.24,-0.13),64),((-0.07,-0.02),64),((-0.31,-0.12),64)]|[(d#.minor,256)]|[75,77,78,75,77,0,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,77,77,77,77,77,75,77,0,77,78,78,78,0,80,82,0,75,75,75,77,78,75,77,78,83,83,83,83,83,87,87,87,87,87,87,87,87,87,87,87,87,87]|[(75,4),(77,4),(78,4),(75,4),(77,4),(0,4),(75,64),(77,20),(75,4),(77,4),(0,4),(77,4),(78,12),(0,4),(80,4),(82,4),(0,4),(75,12),(77,4),(78,4),(75,4),(77,4),(78,4),(83,20),(87,52)]|[[39,51],[],[51],[54],[51],[54,59],[51,59],[47,54,59],[47,51,59],[46,54,58],[39,51],[42,54],[],[],[39,51],[39,51]]|[176]|[[4, 4, 4, 4, 4, 4, 64, 20, 4, 4, 4, 4, 12, 4, 4, 4, 4, 12, 4, 4, 4, 4, 4, 20, 52], [(-43.53, 16), (-34.08, 16), (-24.63, 16), (15.04, 16), (-24.63, 16), (25.63, 16), (-34.06, 16), (34.92, 16), (-42.08, 16), (-54.89, 16), (-43.53, 16), (28.57, 16), (-7.48, 32), (-43.53, 32)], [(39, 0, 7), (87, 12, -7)], [0, 0, 0, 0, (0, 0)]]
[((-0.18,-0.09),256)]|[(d#.minor,200),(f#.minor,56)]|[87,87,87,89,89,89,89,89,89,89,89,89,89,89,90,90,90,90,90,87,87,87,87,87,75,77,78,75,77,78,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]|[(87,12),(89,44),(90,20),(87,20),(75,4),(77,4),(78,4),(75,4),(77,4),(78,4),(75,72),(0,64)]|[[39,51],[35,47],[35,47],[35,47],[34,46],[35,47],[41,53],[],[39,51],[39,51],[39,51],[39,51],[],[],[],[]]|[96,128]|[[12, 44, 20, 20, 4, 4, 4, 4, 4, 4, 72, 64], [(-43.53, 16), (22.58, 48), (-47.55, 16), (22.58, 16), (-18.34, 16), (-30.935000000000002, 16), (-43.53, 64), (-21.765, 64)], [(34, 0, -2), (90, -87, 17)], [0, 0, 1, 0, (0, 0)]]
