[((-0.56,-0.46),16),((-0.54,-0.44),16),((-0.56,-0.42),16),((-0.6,-0.46),16),((-0.58,-0.48),16),((-0.58,-0.46),16),((-0.6,-0.46),16),((-0.6,-0.48),16),((-0.6,-0.46),16),((-0.6,-0.44),16),((-0.58,-0.48),16),((-0.6,-0.46),16),((-0.58,-0.44),16),((-0.6,-0.46),32),((-0.58,-0.44),16)]|[(b.minor,256)]|[47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54]|[(47,160),(53,4),(54,92)]|[[],[],[],[21,33],[24],[14,26],[],[],[26],[40],[22],[],[],[],[],[42]]|[80,112,160,192]|[[160, 4, 92], [(6.96, 48), (13.92, 16), (-5.88, 16), (11.66, 16), (8.77, 32), (5.88, 16), (8.21, 16), (-27.6, 16), (-6.280000000000001, 64), (15.04, 16)], [(14, 21, -5), (54, 7, -1)], [0, 0, 0, 0, (0, 0)]]
[((-0.58,-0.44),16),((-0.62,-0.48),16),((-0.58,-0.48),16),((-0.58,-0.46),16),((-0.58,-0.48),16),((-0.6,-0.5),16),((-0.58,-0.48),16),((-0.58,-0.5),16),((-0.6,-0.52),16),((-0.6,-0.5),16),((-0.58,-0.5),16),((-0.58,-0.52),32),((-0.58,-0.5),32),((-0.6,-0.52),16)]|[(b.minor,176),(f.minor,80)]|[54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,49,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48]|[(54,144),(49,4),(48,108)]|[[],[],[],[],[45],[],[28],[],[23,35],[],[],[40],[23],[24],[],[]]|[96,208]|[[144, 4, 108], [(3.52, 64), (7.04, 16), (7.625, 16), (8.21, 16), (15.395, 16), (22.58, 16), (15.395, 32), (8.21, 16), (11.66, 16), (-5.88, 16), (-2.94, 32)], [(23, -21, -4), (54, -6, 0)], [0, 0, 1, 1, (1, 1)]]
[((-0.58,-0.5),16),((-0.6,-0.5),16),((-0.6,-0.52),32),((-0.6,-0.5),16),((-0.6,-0.52),16),((-0.62,-0.52),16),((-0.62,-0.5),32),((-0.62,-0.52),16),((-0.62,-0.5),16),((-0.62,-0.48),16),((-0.64,-0.5),32),((-0.6,-0.5),16),((-0.62,-0.5),16)]|[(f.minor,256)]|[48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48]|[(48,256)]|[[],[],[],[],[],[],[],[],[],[],[],[],[21],[],[],[]]|[]|[[256], [(3.52, 192), (7.04, 16), (3.52, 48)], [(21, 0, 0), (48, 0, 0)], [0, 0, 1, 1, (1, 1)]]
[((-0.64,-0.5),32),((-0.62,-0.48),16),((-0.64,-0.5),32),((-0.62,-0.48),16),((-0.64,-0.5),16),((-0.64,-0.52),16),((-0.64,-0.5),16),((-0.62,-0.5),16),((-0.64,-0.52),16),((-0.64,-0.5),16),((-0.62,-0.5),16),((-0.62,-0.52),16),((-0.64,-0.52),16),((-0.62,-0.52),16)]|[(f.minor,256)]|[48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53]|[(48,140),(53,116)]|[[],[24],[],[],[],[21,23,35],[],[],[24,25],[],[],[36,40],[21],[],[],[]]|[]|[[140, 116], [(-2.94, 16), (-5.88, 16), (11.345, 48), (28.57, 16), (26.09, 32), (23.61, 16), (18.765, 32), (13.92, 16), (7.04, 16), (3.52, 48)], [(21, -3, 2), (53, 5, -1)], [0, 0, 1, 1, (1, 4)]]
[((-0.62,-0.52),16),((-0.62,-0.54),32),((-0.6,-0.54),16),((-0.62,-0.56),32),((-0.6,-0.54),16),((-0.62,-0.54),16),((-0.64,-0.56),16),((-0.62,-0.56),16),((-0.62,-0.54),16),((-0.64,-0.56),32),((-0.62,-0.56),16),((-0.64,-0.56),32)]|[(f.minor,256)]|[53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,56,56,53,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,48,45,45,45,45,45,45,55,56,56,55,55,55,55,55,55]|[(53,108),(56,8),(53,4),(52,72),(48,4),(45,24),(55,4),(56,8),(55,24)]|[[52],[21],[],[],[20],[],[47],[23,35],[],[46],[],[],[],[],[24,52],[]]|[32]|[[108, 8, 4, 72, 4, 24, 4, 8, 24], [(8.21, 16), (7.04, 16), (-7.25, 32), (-21.54, 16), (-4.9399999999999995, 16), (11.66, 16), (22.58, 16), (-2.5100000000000016, 16), (-27.6, 16), (-6.840000000000001, 64), (13.92, 16), (6.96, 16)], [(20, -28, -5), (56, 2, -2)], [0, 0, 1, 1, (1, 1)]]
[((-0.62,-0.56),16),((-0.6,-0.56),16),((-0.62,-0.56),64),((-0.64,-0.56),16),((-0.62,-0.56),32),((-0.64,-0.58),16),((-0.62,-0.56),32),((-0.64,-0.56),16),((-0.64,-0.58),16),((-0.62,-0.56),16),((-0.64,-0.56),16)]|[(f.minor,224),(c.minor,32)]|[55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,54,52,49,45,49,48,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,48,52,53,48,48,48,48,48,48,48,48,48,48]|[(55,92),(54,4),(52,4),(49,4),(45,4),(49,4),(48,4),(46,88),(48,4),(52,4),(53,4),(48,40)]|[[],[],[],[36,48],[20],[],[],[],[],[],[],[],[21],[],[],[]]|[]|[[92, 4, 4, 4, 4, 4, 4, 88, 4, 4, 4, 40], [(-5.83, 48), (-11.66, 16), (-21.54, 16), (-7.25, 112), (7.04, 16), (3.52, 48)], [(20, -15, -3), (55, -7, -2)], [0, 0, 1, 0, (0, 0)]]
[((-0.66,-0.58),16),((-0.64,-0.58),32),((-0.66,-0.6),64),((-0.66,-0.62),16),((-0.66,-0.6),16),((-0.64,-0.6),64),((-0.66,-0.6),48)]|[(c.minor,64),(b.minor,112),(f.minor,80)]|[48,48,48,48,48,48,48,48,48,48,48,48,53,55,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,55,55,48,48,48,48,48,48,48,48,48,49,48,46,44,44,44,44,44,44,44]|[(48,48),(53,4),(55,4),(54,116),(55,8),(48,36),(49,4),(48,4),(46,4),(44,28)]|[[],[36],[46],[44,48,51],[],[],[],[],[],[],[],[],[],[],[],[]]|[64]|[[48, 4, 4, 116, 8, 36, 4, 4, 4, 28], [(-2.94, 16), (-5.88, 16), (-27.6, 16), (44.92, 16), (22.46, 192)], [(36, 8, 2), (55, -4, 4)], [0, 0, 1, 1, (1, 21)]]
[((-0.66,-0.6),16),((-0.66,-0.62),16),((-0.66,-0.6),32),((-0.66,-0.62),32),((-0.68,-0.6),16),((-0.68,-0.62),32),((-0.68,-0.6),32),((-0.68,-0.62),16),((-0.68,-0.64),16),((-0.7,-0.62),16),((-0.68,-0.64),32)]|[(c#.minor,256)]|[44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44]|[(44,256)]|[[22],[],[],[22],[],[],[33,36,40],[22,34],[21],[],[],[],[],[],[],[]]|[]|[[256], [(-27.6, 64), (-3.5600000000000005, 32), (20.48, 16), (-47.55, 16), (7.04, 16), (3.52, 112)], [(21, -1, 2), (44, 0, 0)], [0, 0, 1, 0, (0, 0)]]
[((-0.7,-0.62),16),((-0.7,-0.64),16),((-0.68,-0.64),16),((-0.7,-0.64),48),((-0.68,-0.64),16),((-0.7,-0.64),16),((0,0),128)]|[(c#.minor,256)]|[44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]|[(44,132),(0,124)]|[[],[],[],[21],[],[],[],[],[21],[21],[21],[21],[21],[21],[21],[21]]|[]|[[132, 124], [(3.52, 48), (7.04, 208)], [(21, 0, 0), (44, -44, 0)], [0, 0, 1, 1, (1, 4)]]
